SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,BENSAFRIM (31E/02UG),,BENSAFRIM (31E/02UG),,BOALHOSA (03G/05UG),,BOALHOSA (03G/05UG),,BOLEIROS (16F/03U),,BOLEIROS (16F/03U),,BOLETA (CARAPINHEIRA) (12F/03UG),,BOLETA (CARAPINHEIRA) (12F/03UG),,BORNES (05O/01UG),,BORNES (05O/01UG),,BOTICAS (03L/03G),,BOTICAS (03L/03G),,BOUÇA DA MÓ (03I/02U),,BOUÇA DA MÓ (03I/02U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
12/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
13/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
14/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
15/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
16/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0.1,(vco),,,,,,,
17/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
18/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
19/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
20/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
21/06/1985 09:00,0,(vco),,,5,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
23/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
25/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
26/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
27/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
28/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
29/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
30/06/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
01/07/1985 09:00,1,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
02/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,3.2,(vco),,,,,,,
03/07/1985 09:00,0,(vco),,,8.5,(vco),,,,,,,2,(vco),,,0,(vco),,,0.9,(vco),,,,,,,
04/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0.4,(vco),,,,,,,
05/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
06/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
07/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
08/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
09/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,1.3,(vco),,,0,(vco),,,,,,,
10/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
11/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
12/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
13/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
14/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
15/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
16/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
17/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
18/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
19/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
20/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
21/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
