SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SARZEDO (07L/13U),,SARZEDO (07L/13U),,SEDA (19K/01UG),,SEDA (19K/01UG),,SEIA (11K/01UG),,SEIA (11K/01UG),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SENDAS (04P/03UG),,SENDAS (04P/03UG),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
18/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
19/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
20/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
21/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
22/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
23/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
24/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
25/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
26/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
27/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
28/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
29/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
30/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
01/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
02/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
03/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
04/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
