SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ABRIGADA (19C/03G),,ABRIGADA (19C/03G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
26/02/1991 09:00,0,(vco),,,
27/02/1991 09:00,2.2,(vco),,,
28/02/1991 09:00,16.9,(vco),,,
01/03/1991 09:00,22,(vco),,,
02/03/1991 09:00,0,(vco),,,
03/03/1991 09:00,0.8,(vco),,,
04/03/1991 09:00,0,(vco),,,
05/03/1991 09:00,22.8,(vco),,,
06/03/1991 09:00,28.4,(vco),,,
07/03/1991 09:00,16.5,(vco),,,
08/03/1991 09:00,8,(vco),,,
09/03/1991 09:00,16.8,(vco),,,
10/03/1991 09:00,6.8,(vco),,,
11/03/1991 09:00,0.4,(vco),,,
12/03/1991 09:00,9.5,(vco),,,
13/03/1991 09:00,3.5,(vco),,,
14/03/1991 09:00,0,(vco),,,
15/03/1991 09:00,0,(vco),,,
16/03/1991 09:00,9.5,(vco),,,
17/03/1991 09:00,1.1,(vco),,,
18/03/1991 09:00,0,(vco),,,
19/03/1991 09:00,0,(vco),,,
20/03/1991 09:00,0,(vco),,,
21/03/1991 09:00,0,(vco),,,
22/03/1991 09:00,5.3,(vco),,,
23/03/1991 09:00,2.5,(vco),,,
24/03/1991 09:00,0,(vco),,,
25/03/1991 09:00,0,(vco),,,
26/03/1991 09:00,0,(vco),,,
27/03/1991 09:00,0,(vco),,,
28/03/1991 09:00,0.3,(vco),,,
29/03/1991 09:00,0,(vco),,,
30/03/1991 09:00,0,(vco),,,
31/03/1991 09:00,0,(vco),,,
01/04/1991 09:00,0,(vco),,,
02/04/1991 09:00,0,(vco),,,
03/04/1991 09:00,0,(vco),,,
04/04/1991 09:00,0,(vco),,,
05/04/1991 09:00,2.1,(vco),,,
06/04/1991 09:00,0,(vco),,,
07/04/1991 09:00,0,(vco),,,
08/04/1991 09:00,0,(vco),,,
09/04/1991 09:00,0,(vco),,,
10/04/1991 09:00,0,(vco),,,
11/04/1991 09:00,0,(vco),,,
12/04/1991 09:00,0,(vco),,,
13/04/1991 09:00,0,(vco),,,
14/04/1991 09:00,0,(vco),,,
15/04/1991 09:00,3.5,(vco),,,
16/04/1991 09:00,8.3,(vco),,,
17/04/1991 09:00,15.1,(vco),,,
18/04/1991 09:00,2.4,(vco),,,
19/04/1991 09:00,0,(vco),,,
20/04/1991 09:00,0,(vco),,,
21/04/1991 09:00,0,(vco),,,
22/04/1991 09:00,0,(vco),,,
23/04/1991 09:00,0,(vco),,,
24/04/1991 09:00,0,(vco),,,
25/04/1991 09:00,0.2,(vco),,,
26/04/1991 09:00,1,(vco),,,
27/04/1991 09:00,0,(vco),,,
28/04/1991 09:00,1.3,(vco),,,
29/04/1991 09:00,0,(vco),,,
30/04/1991 09:00,0,(vco),,,
01/05/1991 09:00,0,(vco),,,
02/05/1991 09:00,0,(vco),,,
03/05/1991 09:00,0,(vco),,,
04/05/1991 09:00,0,(vco),,,
05/05/1991 09:00,0,(vco),,,
06/05/1991 09:00,0,(vco),,,
07/05/1991 09:00,0,(vco),,,
08/05/1991 09:00,0,(vco),,,
09/05/1991 09:00,0,(vco),,,
10/05/1991 09:00,0,(vco),,,
11/05/1991 09:00,0,(vco),,,
12/05/1991 09:00,0,(vco),,,
13/05/1991 09:00,0,(vco),,,
14/05/1991 09:00,0,(vco),,,
15/05/1991 09:00,0,(vco),,,
16/05/1991 09:00,0,(vco),,,
17/05/1991 09:00,0,(vco),,,
18/05/1991 09:00,0,(vco),,,
19/05/1991 09:00,0,(vco),,,
20/05/1991 09:00,0,(vco),,,
21/05/1991 09:00,0,(vco),,,
22/05/1991 09:00,0,(vco),,,
23/05/1991 09:00,0,(vco),,,
24/05/1991 09:00,0,(vco),,,
25/05/1991 09:00,0,(vco),,,
26/05/1991 09:00,0,(vco),,,
27/05/1991 09:00,0,(vco),,,
28/05/1991 09:00,0,(vco),,,
29/05/1991 09:00,0,(vco),,,
30/05/1991 09:00,0,(vco),,,
31/05/1991 09:00,0.9,(vco),,,
01/06/1991 09:00,0,(vco),,,
02/06/1991 09:00,19.4,(vco),,,
03/06/1991 09:00,0,(vco),,,
04/06/1991 09:00,0,(vco),,,
05/06/1991 09:00,0,(vco),,,
06/06/1991 09:00,0,(vco),,,
07/06/1991 09:00,0,(vco),,,
