SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SÃO VICENTE DE CHÃ (03K/03UG),,SÃO VICENTE DE CHÃ (03K/03UG),,TABUAÇO (07L/09G),,TABUAÇO (07L/09G),,TAIPAS (05G/04UG),,TAIPAS (05G/04UG),,TAMANHOS (09N/01UG),,TAMANHOS (09N/01UG),,TAMEL (04F/02UG),,TAMEL (04F/02UG),,TAROUCA (07K/08U),,TAROUCA (07K/08U),,TAVEIRO (12G/03U),,TAVEIRO (12G/03U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
24/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
26/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
27/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
28/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
29/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
30/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
31/10/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
01/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
02/11/1985 09:00,,,,,,,,,,,,,15.4,(vco),,,,,,,2.1,(vco),,,44.2,(vco),,,
03/11/1985 09:00,,,,,,,,,,,,,13.5,(vco),,,,,,,21.5,(vco),,,0,(vco),,,
04/11/1985 09:00,,,,,,,,,,,,,27.4,(vco),,,,,,,43.5,(vco),,,42.4,(vco),,,
05/11/1985 09:00,,,,,,,,,,,,,17.3,(vco),,,,,,,11.5,(vco),,,4.2,(vco),,,
06/11/1985 09:00,,,,,,,,,,,,,22.6,(vco),,,,,,,0,(vco),,,1.6,(vco),,,
07/11/1985 09:00,,,,,,,,,,,,,2.5,(vco),,,,,,,0,(vco),,,3.1,(vco),,,
08/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
09/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,10.5,(vco),,,0,(vco),,,
10/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,7.5,(vco),,,4.4,(vco),,,
11/11/1985 09:00,,,,,,,,,,,,,29.3,(vco),,,,,,,24.2,(vco),,,14.2,(vco),,,
12/11/1985 09:00,,,,,,,,,,,,,23.2,(vco),,,,,,,4.5,(vco),,,20.4,(vco),,,
