DATA,MINAS DE SÃO DOMINGOS (27M/02U),,MINAS DE SÃO DOMINGOS (27M/02U),,MINAS DE SÃO DOMINGOS (27M/02U),,MINAS DE SÃO DOMINGOS (27M/02U),,MINDE (16E/02G),,MINDE (16E/02G),,MINDE (16E/02G),,MINDE (16E/02G),,MIUZELA (10O/03G),,MIUZELA (10O/03G),,MIUZELA (10O/03G),,MIUZELA (10O/03G),,MOGADOURO (05Q/03UG),,MOGADOURO (05Q/03UG),,MOGADOURO (05Q/03UG),,MOGADOURO (05Q/03UG),,MOIMENTA DA RAIA (02P/01C),,MOIMENTA DA RAIA (02P/01C),,MOIMENTA DA RAIA (02P/01C),,MOIMENTA DA RAIA (02P/01C),,MOINHO DO BREJO REDONDO (FLOR BREJO) (28E/01G),,MOINHO DO BREJO REDONDO (FLOR BREJO) (28E/01G),,MOINHO DO BREJO REDONDO (FLOR BREJO) (28E/01G),,MOINHO DO BREJO REDONDO (FLOR BREJO) (28E/01G),,MOINHOLA (22F/03C),,MOINHOLA (22F/03C),,MOINHOLA (22F/03C),,MOINHOLA (22F/03C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
22/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0.2,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),13,(vau),,,
23/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),13.5,(vau),,,
24/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),12.85,(vau),,,
25/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),14.95,(vau),,,
26/05/1985 09:00,,,,,,,,,,,18,(vco),,,,,,,1.4,(vco),,,,,,,1.4,(vco),,,,,,,2.1,(vco),,,,,,,,,,,,,,,9.4,(vco),16.75,(vau),,,
27/05/1985 09:00,,,,,,,,,,,0.2,(vco),,,,,,,17.6,(vco),,,,,,,14.4,(vco),,,,,,,20.8,(vco),,,,,,,,,,,,,,,2.3,(vco),16.35,(vau),,,
28/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,2.4,(vco),,,,,,,2,(vco),,,,,,,1.5,(vco),,,,,,,,,,,,,,,0,(vco),16,(vau),,,
29/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,2.5,(vco),15.5,(vau),,,
30/05/1985 09:00,,,,,,,,,,,7,(vco),,,,,,,6.8,(vco),,,,,,,9,(vco),,,,,,,7.4,(vco),,,,,,,,,,,,,,,8.9,(vco),18.25,(vau),,,
31/05/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,12,(vco),,,,,,,64.5,(vco),,,,,,,23.7,(vco),,,,,,,,,,,,,,,0,(vco),17.75,(vau),,,
01/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,22,(vco),,,,,,,19.2,(vco),,,,,,,15,(vco),,,,,,,,,,,,,,,0,(vco),17.1,(vau),,,
02/06/1985 09:00,,,,,,,,,,,10,(vco),,,,,,,16.2,(vco),,,,,,,9.8,(vco),,,,,,,7.7,(vco),,,,,,,,,,,,,,,2.4,(vco),17.5,(vau),,,
03/06/1985 09:00,,,,,,,,,,,2,(vco),,,,,,,1.3,(vco),,,,,,,12,(vco),,,,,,,10.7,(vco),,,,,,,,,,,,,,,0,(vco),18,(vau),,,
04/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,1,(vco),,,,,,,2.8,(vco),,,,,,,,,,,,,,,0,(vco),17,(vau),,,
05/06/1985 09:00,,,,,,,,,,,6.8,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,5.2,(vco),,,,,,,,,,,,,,,0.1,(vco),18.25,(vau),,,
06/06/1985 09:00,,,,,,,,,,,1.8,(vco),,,,,,,1.4,(vco),,,,,,,0,(vco),,,,,,,1.9,(vco),,,,,,,,,,,,,,,0,(vco),17.75,(vau),,,
07/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,3.2,(vco),,,,,,,0,(vco),,,,,,,0.2,(vco),,,,,,,,,,,,,,,0,(vco),18.6,(vau),,,
08/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0.1,(vco),,,,,,,,,,,,,,,0,(vco),18.1,(vau),,,
09/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),20,(vau),,,
10/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),21.1,(vau),,,
11/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),22.1,(vau),,,
12/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),21,(vau),,,
13/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),16.75,(vau),,,
14/06/1985 09:00,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,,,0,(vco),18.1,(vau),,,
