SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PORTELA DO HOMEM (03I/01G),,PORTELA DO HOMEM (03I/01G),,PORTELA DO VADE (03G/03UG),,PORTELA DO VADE (03G/03UG),,PORTELINHA (01H/02G),,PORTELINHA (01H/02G),,PORTO CARRO (16D/02U),,PORTO CARRO (16D/02U),,PORTO CHÃO (02H/06U),,PORTO CHÃO (02H/06U),,PORTO DE MÓS (16E/03UG),,PORTO DE MÓS (16E/03UG),,POÇO DE BOLIQUEIME (31I/03U),,POÇO DE BOLIQUEIME (31I/03U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
19/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
20/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
21/06/1985 09:00,2.5,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
22/06/1985 09:00,0,(vco),,,,,,,4,(vco),,,,,,,,,,,0,(vco),,,,,,,
23/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
24/06/1985 09:00,0,(vco),,,,,,,0.5,(vco),,,,,,,,,,,0,(vco),,,,,,,
25/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
26/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
27/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
28/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
29/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
30/06/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
01/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
02/07/1985 09:00,0,(vco),,,,,,,0.6,(vco),,,,,,,,,,,0,(vco),,,,,,,
03/07/1985 09:00,8.5,(vco),,,,,,,0.8,(vco),,,,,,,,,,,0.8,(vco),,,,,,,
04/07/1985 09:00,0,(vco),,,,,,,1.4,(vco),,,,,,,,,,,0,(vco),,,,,,,
05/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
06/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
07/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
08/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
09/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
10/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
11/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
12/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
13/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0.5,(vco),,,,,,,
14/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
15/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
16/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
17/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
18/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
19/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
20/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
21/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
22/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
23/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
24/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
25/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
26/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
27/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
28/07/1985 09:00,9.6,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
29/07/1985 09:00,66.3,(vco),,,,,,,19,(vco),,,,,,,,,,,4.9,(vco),,,,,,,
30/07/1985 09:00,2.2,(vco),,,,,,,4,(vco),,,,,,,,,,,0,(vco),,,,,,,
31/07/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
01/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
02/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
03/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
04/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
05/08/1985 09:00,0,(vco),,,,,,,1.5,(vco),,,,,,,,,,,0,(vco),,,,,,,
06/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
07/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
08/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
09/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
10/08/1985 09:00,5.5,(vco),,,,,,,2.2,(vco),,,,,,,,,,,0,(vco),,,,,,,
11/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
12/08/1985 09:00,6.5,(vco),,,,,,,6.3,(vco),,,,,,,,,,,0,(vco),,,,,,,
13/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
14/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
15/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
16/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
17/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
18/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
19/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0.8,(vco),,,,,,,
20/08/1985 09:00,0,(vco),,,,,,,1.2,(vco),,,,,,,,,,,0,(vco),,,,,,,
21/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
22/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
23/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
24/08/1985 09:00,4.5,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
25/08/1985 09:00,5,(vco),,,,,,,10.7,(vco),,,,,,,,,,,0,(vco),,,,,,,
26/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
27/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
28/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
29/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
30/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
31/08/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
01/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
02/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
03/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
04/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
05/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
06/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
07/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
08/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
09/09/1985 09:00,1,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
10/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0.1,(vco),,,,,,,
11/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
12/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
13/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
14/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,1.4,(vco),,,,,,,
15/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
16/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
17/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
18/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
19/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
20/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,2.3,(vco),,,,,,,
21/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
22/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
23/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
24/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
25/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
26/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
27/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
28/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
29/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
30/09/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
01/10/1985 09:00,5.5,(vco),,,,,,,24,(vco),,,,,,,,,,,0,(vco),,,,,,,
02/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
03/10/1985 09:00,9.3,(vco),,,,,,,5.2,(vco),,,,,,,,,,,5.3,(vco),,,,,,,
04/10/1985 09:00,21.5,(vco),,,,,,,21,(vco),,,,,,,,,,,0.2,(vco),,,,,,,
05/10/1985 09:00,1.8,(vco),,,,,,,3,(vco),,,,,,,,,,,0,(vco),,,,,,,
06/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
07/10/1985 09:00,1.2,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
08/10/1985 09:00,11.5,(vco),,,,,,,8.5,(vco),,,,,,,,,,,0,(vco),,,,,,,
09/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
10/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
11/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
12/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
13/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
14/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
15/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
16/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
17/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
18/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
19/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
20/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
21/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
