SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,BOUÇÃ (PESSEGUEIRO DO VOUGA) (09G/03UG),,BOUÇÃ (PESSEGUEIRO DO VOUGA) (09G/03UG),,BOUÇÃ DOS HOMENS (02H/01UG),,BOUÇÃ DOS HOMENS (02H/01UG),,BRANCELHE (04I/02UG),,BRANCELHE (04I/02UG),,BRITELO (02H/07UG),,BRITELO (02H/07UG),,BROTAS (20I/02UG),,BROTAS (20I/02UG),,BRUFE (BARREIROS) (09K/03UG),,BRUFE (BARREIROS) (09K/03UG),,BUSTELO (SERRA DE PIAS) (07G/01G),,BUSTELO (SERRA DE PIAS) (07G/01G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
08/06/1985 09:00,0,(vco),,,0.5,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
09/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
10/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
11/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
12/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
13/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
14/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
15/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
16/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
17/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
18/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
19/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
20/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
21/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0.8,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/06/1985 09:00,0.5,(vco),,,7,(vco),,,0,(vco),,,1,(vco),,,0,(vco),,,0,(vco),,,,,,,
23/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/06/1985 09:00,0,(vco),,,1,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
25/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
26/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
27/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
28/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
29/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
30/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
01/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
02/07/1985 09:00,0,(vco),,,0,(vco),,,2.2,(vco),,,4,(vco),,,0,(vco),,,0,(vco),,,,,,,
03/07/1985 09:00,0,(vco),,,3,(vco),,,3.2,(vco),,,5.1,(vco),,,15.5,(vco),,,0,(vco),,,,,,,
04/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
05/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
06/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
07/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
08/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
09/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
10/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
11/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
12/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
