DATA,BARRAGEM CABEÇO MONTEIRO (14N/01C),,BARRAGEM CABEÇO MONTEIRO (14N/01C),,BARRAGEM CABEÇO MONTEIRO (14N/01C),,BARRAGEM CABEÇO MONTEIRO (14N/01C),,BARRAGEM DA BOUÇÃ (14H/02C),,BARRAGEM DA BOUÇÃ (14H/02C),,BARRAGEM DA BOUÇÃ (14H/02C),,BARRAGEM DA BOUÇÃ (14H/02C),,BARRAGEM DA BRAVURA (30E/03C),,BARRAGEM DA BRAVURA (30E/03C),,BARRAGEM DA BRAVURA (30E/03C),,BARRAGEM DA BRAVURA (30E/03C),,BARRAGEM DA PRACANA (16K/02U),,BARRAGEM DA PRACANA (16K/02U),,BARRAGEM DA PRACANA (16K/02U),,BARRAGEM DA PRACANA (16K/02U),,BARRAGEM DE CAMPILHAS (26F/02C),,BARRAGEM DE CAMPILHAS (26F/02C),,BARRAGEM DE CAMPILHAS (26F/02C),,BARRAGEM DE CAMPILHAS (26F/02C),,BARRAGEM DE CASTELO BURGÃES (08G/01C),,BARRAGEM DE CASTELO BURGÃES (08G/01C),,BARRAGEM DE CASTELO BURGÃES (08G/01C),,BARRAGEM DE CASTELO BURGÃES (08G/01C),,BARRAGEM DE CASTELO DE BODE (16H/01C),,BARRAGEM DE CASTELO DE BODE (16H/01C),,BARRAGEM DE CASTELO DE BODE (16H/01C),,BARRAGEM DE CASTELO DE BODE (16H/01C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
20/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,61,(vco),0,(vco),16.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
21/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,59,(vco),0,(vco),15.4,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
22/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,59,(vco),0,(vco),15.5,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
23/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,61,(vco),0,(vco),15.4,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0.2,(vco),,,,,,,,,,,,,
24/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,62,(vco),0,(vco),15.85,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
25/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,76,(vco),0,(vco),16.75,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
26/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,81,(vco),5.9,(vco),18.25,(vau),,,,,,,,,,,,,3,(vco),,,,,,,11.9,(vco),,,,,,,,,,,,,
27/05/1985 09:00,,,4.2,(vco),,,,,,,,,,,,,66,(vco),0,(vco),17.25,(vau),,,,,,,,,,,,,2.5,(vco),,,,,,,46.2,(vco),,,,,,,,,,,,,
28/05/1985 09:00,,,1,(vco),,,,,,,,,,,,,56,(vco),0,(vco),18.5,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0.8,(vco),,,,,,,,,,,,,
29/05/1985 09:00,,,0,(vco),,,,,,,,,,,,,76,(vco),0.4,(vco),18.8,(vau),,,,,,,,,,,,,2.5,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
30/05/1985 09:00,,,6.5,(vco),,,,,,,,,,,,,86,(vco),0,(vco),19,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
31/05/1985 09:00,,,8,(vco),,,,,,,,,,,,,85,(vco),0.7,(vco),18.8,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0.5,(vco),,,,,,,,,,,,,
01/06/1985 09:00,,,21,(vco),,,,,,,,,,,,,86,(vco),4.9,(vco),18.3,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,,,,,,,,,,,
02/06/1985 09:00,,,7.5,(vco),,,,,,,,,,,,,90,(vco),0.2,(vco),18.65,(vau),,,,,,,,,,,,,9,(vco),,,,,,,3.2,(vco),,,,,,,,,,,,,
03/06/1985 09:00,,,2.5,(vco),,,,,,,,,,,,,66,(vco),0,(vco),19,(vau),,,,,,,,,,,,,0,(vco),,,,,,,11.7,(vco),,,,,,,,,,,,,
04/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,73,(vco),0,(vco),17.25,(vau),,,,,,,,,,,,,0,(vco),,,,,,,3.1,(vco),,,,,,,,,,,,,
05/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,90,(vco),0.8,(vco),19.2,(vau),,,,,,,,,,,,,0,(vco),,,,,,,12.8,(vco),,,,,,,,,,,,,
06/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,86,(vco),0,(vco),18.25,(vau),,,,,,,,,,,,,0,(vco),,,,,,,6.5,(vco),,,,,,,,,,,,,
07/06/1985 09:00,,,0,(vco),,,,,,,,,,,,,65,(vco),0.4,(vco),18.9,(vau),,,,,,,,,,,,,0,(vco),,,,,,,0.4,(vco),,,,,,,,,,,,,
