SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALGÉS (21B/06G),,ALGÉS (21B/06G),,ALHASTROS (CARAPINHEIRA) (12F/04U),,ALHASTROS (CARAPINHEIRA) (12F/04U),,ALJEZUR (30E/01UG),,ALJEZUR (30E/01UG),,ALJUBARROTA (16D/01UG),,ALJUBARROTA (16D/01UG),,ALJUSTREL (26I/03UG),,ALJUSTREL (26I/03UG),,ALMACEDA (14K/01U),,ALMACEDA (14K/01U),,ALMAÇA (11H/01UG),,ALMAÇA (11H/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
16/06/1985 09:00,,,,,,,,,0.8,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
17/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
18/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
20/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
21/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
22/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
23/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
24/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
25/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
26/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
27/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
28/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
29/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
30/06/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
01/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/07/1985 09:00,,,,,,,,,2.6,(vco),,,2.2,(vco),,,0,(vco),,,,,,,2.9,(vco),,,
03/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,14.5,(vco),,,
04/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
05/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
06/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
07/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
08/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
11/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
12/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
13/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
15/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
16/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
17/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
18/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
20/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
21/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
22/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
23/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
24/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
25/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
26/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
27/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
28/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,2,(vco),,,
29/07/1985 09:00,,,,,,,,,0,(vco),,,2.8,(vco),,,0,(vco),,,,,,,0,(vco),,,
30/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
31/07/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
01/08/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/08/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
03/08/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
04/08/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
05/08/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
