SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,OTA (19D/02UG),,OTA (19D/02UG),,OUTEIRO (03J/02UG),,OUTEIRO (03J/02UG),,PADERNE (30H/05UG),,PADERNE (30H/05UG),,PADRELA (04M/01UG),,PADRELA (04M/01UG),,PALHEIROS (05M/02U),,PALHEIROS (05M/02U),,PALME (04E/03UG),,PALME (04E/03UG),,PAMPILHOSA DA SERRA (13J/03UG),,PAMPILHOSA DA SERRA (13J/03UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
10/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
11/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
13/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
14/06/1985 09:00,3,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
15/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
16/06/1985 09:00,0,(vco),,,3,(vco),,,5.1,(vco),,,0,(vco),,,,,,,0,(vco),,,1.2,(vco),,,
17/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
18/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
19/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
22/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,3,(vco),,,0,(vco),,,
24/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
26/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
27/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
28/06/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
