SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,MUGE (19E/01UG),,MUGE (19E/01UG),,MURES ASSECA (TERRUGEM) (20M/04G),,MURES ASSECA (TERRUGEM) (20M/04G),,MURÇA (05M/03U),,MURÇA (05M/03U),,MÉRTOLA (28L/01UG),,MÉRTOLA (28L/01UG),,NISA (16L/03UG),,NISA (16L/03UG),,NOGUEIRA (03E/02UG),,NOGUEIRA (03E/02UG),,ODEMIRA (28F/01UG),,ODEMIRA (28F/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
13/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,2.3,(vco),,,
14/09/1985 09:00,0.2,(vco),,,,,,,,,,,0,(vco),,,2.6,(vco),,,0,(vco),,,0,(vco),,,
15/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
16/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
17/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
18/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/09/1985 09:00,0.2,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/09/1985 09:00,0,(vco),,,,,,,,,,,9.2,(vco),,,0,(vco),,,0,(vco),,,2.5,(vco),,,
22/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,1.3,(vco),,,0,(vco),,,0,(vco),,,
23/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
28/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
29/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
30/09/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
01/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,18,(vco),,,0,(vco),,,
02/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
03/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,5,(vco),,,0,(vco),,,
04/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0.3,(vco),,,21,(vco),,,2.5,(vco),,,
05/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,5.2,(vco),,,0,(vco),,,
06/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,2,(vco),,,0,(vco),,,
07/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
08/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,4.5,(vco),,,0,(vco),,,
09/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
10/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
11/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
12/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
13/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
14/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
15/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
16/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
17/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
18/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
19/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
20/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
21/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
22/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
23/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
24/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
25/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
26/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
27/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
28/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
29/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
